step,requested,transition_target,applied,pending_valid,latest_valid,mode_change_count,pass
initial_flat,0,-1,0,0,0,0,PASS
flat_to_bass_requested,1,1,0,1,0,0,PASS
bass_applied,1,-1,1,0,0,1,PASS
bass_to_vocal_requested,2,2,1,1,0,1,PASS
treble_latest,3,2,1,1,1,1,PASS
treble_applied,3,-1,3,0,0,3,PASS
raw_interrupt,2,-1,-1,0,0,3,PASS
hard_bypass,2,-1,-1,0,0,3,PASS
bypass_restore_pending,2,2,-1,1,0,3,PASS
bypass_restore_applied,2,-1,2,0,0,4,PASS
repeat_vocal,2,-1,2,0,0,4,PASS
custom_latest_queued,5,1,2,1,1,4,PASS
custom_latest_applied,5,-1,-1,0,0,6,PASS
custom_latest_bank_verified,5,-1,-1,0,0,6,PASS
bypass_latest_treble,3,-1,-1,0,0,6,PASS
bypass_latest_restore,3,3,-1,1,0,6,PASS
bypass_latest_applied,3,-1,3,0,0,7,PASS
generation_return_to_pending,2,2,0,1,0,0,PASS
